model,dataset,accuracy,precision_macro,recall_macro,f1_macro,precision_complaint,recall_complaint,f1_complaint,TN,FP,FN,TP,num_samples
LogisticRegression,Shopee,0.9392583120204604,0.9385952529463905,0.9394442498310152,0.9389726724243802,0.9493975903614458,0.9369797859690844,0.943147815679234,681,42,53,788,1564
LinearSVM,Shopee,0.9430946291560103,0.9426632346463113,0.9429143991461131,0.9427852935893437,0.9486873508353222,0.9453032104637337,0.9469922572960096,680,43,46,795,1564
NaiveBayes,Shopee,0.9341432225063938,0.9333672264497508,0.9345909746514638,0.9338674286042707,0.9478155339805825,0.9286563614744352,0.9381381381381382,680,43,60,781,1564
